 ! Swift/XRT lightcurve of trigger: 848890, name: GRB 180720B
 ! T0 for this burst is Swift MET=553789325.9 s, = 2018 Jul 20 at 14:21:44.587 UT
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00848890
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
188.079	0.398	-0.459	1.65426378e-08	2.11876392e-09	-5.240922e+01
188.859	0.257	-0.381	2.22113541e-08	2.86220025e-09	-7.044515e+01
189.523	0.372	-0.407	1.77380346e-08	2.34974298e-09	-5.811141e+01
190.380	0.487	-0.484	1.39794096e-08	1.91735505e-09	-4.702830e+01
191.331	0.480	-0.464	1.46312712e-08	1.93067628e-09	-4.792553e+01
192.241	0.360	-0.430	1.73444271e-08	2.32318827e-09	-5.746655e+01
193.054	0.316	-0.453	1.8457335e-08	2.39067387e-09	-5.862116e+01
193.774	0.493	-0.404	1.54145901e-08	2.04677928e-09	-5.052440e+01
194.724	0.438	-0.457	1.56504465e-08	2.03331648e-09	-5.133875e+01
195.544	0.331	-0.382	2.01236841e-08	2.60185575e-09	-6.517775e+01
196.403	0.522	-0.528	1.3558038e-08	1.7718714e-09	-4.440135e+01
197.419	0.589	-0.494	1.34532138e-08	1.70865162e-09	-4.340635e+01
198.443	0.386	-0.434	1.75041828e-08	2.22971112e-09	-5.716487e+01
199.271	0.417	-0.442	1.62709677e-08	2.16312174e-09	-5.455056e+01
200.317	0.466	-0.630	1.28719617e-08	1.69352469e-09	-4.266818e+01
201.137	0.429	-0.354	1.87806762e-08	2.3837307e-09	-5.970438e+01
201.999	0.549	-0.433	1.44916122e-08	1.88490627e-09	-4.751640e+01
202.999	0.363	-0.450	1.76573787e-08	2.2699638e-09	-5.728157e+01
203.776	0.509	-0.414	1.55480325e-08	2.01324981e-09	-5.034716e+01
204.772	0.470	-0.487	1.44771276e-08	1.96269372e-09	-4.901667e+01
205.697	0.483	-0.455	1.52018061e-08	1.94633634e-09	-4.942211e+01
206.691	0.474	-0.512	1.40401716e-08	1.85390595e-09	-4.724868e+01
207.601	0.372	-0.435	1.78978137e-08	2.28469839e-09	-5.673452e+01
208.263	0.285	-0.290	2.47269282e-08	3.16852536e-09	-8.034532e+01
209.108	0.440	-0.560	1.43347737e-08	1.82564694e-09	-4.597226e+01
209.976	0.428	-0.428	1.64595405e-08	2.135289e-09	-5.402919e+01
210.795	0.352	-0.392	1.94391483e-08	2.43514518e-09	-6.185031e+01
211.607	0.427	-0.460	1.58663544e-08	2.05266282e-09	-5.216682e+01
212.486	0.404	-0.451	1.64598447e-08	2.13391854e-09	-5.404872e+01
213.352	0.373	-0.461	1.70293305e-08	2.18307882e-09	-5.531974e+01
214.220	0.494	-0.495	1.47395313e-08	1.84003248e-09	-4.623473e+01
215.210	0.529	-0.496	1.39864179e-08	1.79920143e-09	-4.478784e+01
216.267	0.457	-0.528	1.43422968e-08	1.84737891e-09	-4.649815e+01
217.279	0.487	-0.554	1.31967225e-08	1.76346924e-09	-4.419294e+01
218.246	0.493	-0.481	1.39874592e-08	1.89079098e-09	-4.736709e+01
219.299	0.560	-0.561	1.24729683e-08	1.61015829e-09	-4.109118e+01
220.469	0.612	-0.610	1.14381852e-08	1.48223244e-09	-3.756850e+01
221.471	0.437	-0.389	1.67868987e-08	2.19753846e-09	-5.603803e+01
222.355	0.556	-0.448	1.35658536e-08	1.80676119e-09	-4.638377e+01
223.411	0.503	-0.500	1.39325706e-08	1.80796239e-09	-4.572812e+01
224.420	0.469	-0.506	1.37103174e-08	1.87960461e-09	-4.759948e+01
225.390	0.419	-0.501	1.53324912e-08	1.97162394e-09	-4.973404e+01
226.447	0.630	-0.638	1.13824542e-08	1.41629475e-09	-3.574848e+01
227.607	0.464	-0.530	1.40556897e-08	1.81273989e-09	-4.554890e+01
228.607	0.620	-0.535	1.17904254e-08	1.56576771e-09	-3.954490e+01
229.666	0.539	-0.440	1.34157231e-08	1.85684928e-09	-4.715518e+01
230.777	0.577	-0.572	1.19509611e-08	1.56174447e-09	-3.979711e+01
231.902	0.525	-0.548	1.32564822e-08	1.66872264e-09	-4.234956e+01
232.949	0.435	-0.522	1.47310917e-08	1.87057338e-09	-4.730214e+01
233.866	0.477	-0.482	1.45772718e-08	1.87609773e-09	-4.726935e+01
234.953	0.591	-0.610	1.10325657e-08	1.50784647e-09	-3.839894e+01
236.126	0.603	-0.582	1.19779569e-08	1.51934406e-09	-3.871414e+01
237.346	0.549	-0.617	1.21667559e-08	1.54085529e-09	-3.915385e+01
238.630	0.759	-0.736	9.0084969e-09	1.22721339e-09	-3.150315e+01
239.864	0.489	-0.475	1.47303351e-08	1.8782322e-09	-4.810070e+01
241.015	0.662	-0.662	1.08240795e-08	1.37529249e-09	-3.488676e+01
242.300	0.491	-0.623	1.28643996e-08	1.63245771e-09	-4.132228e+01
243.266	0.558	-0.475	1.38322002e-08	1.77675849e-09	-4.509572e+01
244.581	0.506	-0.757	1.06578225e-08	1.46049579e-09	-3.700960e+01
245.629	0.582	-0.542	1.23030141e-08	1.6513068e-09	-4.119221e+01
246.686	0.453	-0.474	1.54570299e-08	1.99762602e-09	-4.953597e+01
247.611	0.387	-0.472	1.68168858e-08	2.1074937e-09	-5.349258e+01
248.615	0.577	-0.617	1.18212549e-08	1.53907494e-09	-3.874791e+01
249.758	0.551	-0.566	1.24141407e-08	1.65650082e-09	-4.157978e+01
250.943	0.597	-0.634	1.16682462e-08	1.49107218e-09	-3.738566e+01
252.150	0.689	-0.610	1.11564024e-08	1.39900254e-09	-3.553009e+01
253.457	0.507	-0.618	1.27759905e-08	1.61408754e-09	-4.116429e+01
254.578	0.688	-0.614	1.09355298e-08	1.39499841e-09	-3.565743e+01
256.063	0.607	-0.797	9.9690318e-09	1.30228254e-09	-3.317089e+01
257.277	0.663	-0.607	1.11137013e-08	1.43461656e-09	-3.660413e+01
258.771	0.634	-0.832	9.7823895e-09	1.24002138e-09	-3.144180e+01
259.850	0.497	-0.444	1.48169658e-08	1.9322238e-09	-4.938221e+01
261.088	0.698	-0.741	9.7745661e-09	1.26094215e-09	-3.223070e+01
262.442	0.700	-0.656	1.05593943e-08	1.33690362e-09	-3.396574e+01
263.759	0.687	-0.617	1.07880747e-08	1.39097049e-09	-3.557072e+01
264.935	0.545	-0.489	1.38493017e-08	1.7429451e-09	-4.481182e+01
266.161	0.639	-0.681	1.0563579e-08	1.37780643e-09	-3.519650e+01
267.416	0.366	-0.616	9.9670467e-09	1.28255205e-09	-3.237021e+01
268.106	0.362	-0.324	1.16538552e-08	1.46221725e-09	-3.650676e+01
268.816	0.348	-0.347	1.10808594e-08	1.46688945e-09	-3.644757e+01
269.540	0.418	-0.375	9.9931494e-09	1.28954943e-09	-3.168528e+01
270.469	0.372	-0.511	8.9857989e-09	1.1487645e-09	-2.849127e+01
271.172	0.435	-0.332	1.00526595e-08	1.33214562e-09	-3.306558e+01
272.006	0.343	-0.399	1.03900017e-08	1.3894452e-09	-3.417520e+01
272.766	0.350	-0.417	1.02447774e-08	1.3370292e-09	-3.288059e+01
273.480	0.335	-0.364	1.14462465e-08	1.43322231e-09	-3.585679e+01
274.197	0.423	-0.382	9.7690008e-09	1.24977567e-09	-3.135402e+01
